Id,Sales
1,4702.2177734375
2,7899.5341796875
3,8756.0791015625
4,6046.80615234375
5,7023.34130859375
6,5513.02099609375
7,7964.4990234375
8,8052.76953125
9,5580.52490234375
10,5407.07666015625
11,7184.0576171875
12,7711.3828125
13,7443.39306640625
14,7329.09716796875
15,5885.47314453125
16,4787.96484375
17,6291.9169921875
18,8981.7099609375
19,9434.1455078125
20,9621.0078125
21,7192.0791015625
22,4873.8759765625
23,6253.4462890625
24,4686.5322265625
25,7960.51171875
26,9699.58203125
27,9582.599609375
28,5795.56591796875
29,5155.56103515625
30,4801.75
31,6328.2275390625
32,10619.9541015625
33,6691.74072265625
34,6091.06103515625
35,5667.388671875
36,8287.837890625
37,4258.515625
38,7476.71484375
39,5224.89990234375
40,7527.97119140625
41,7165.16357421875
42,6288.92919921875
43,7241.07373046875
44,6834.0087890625
45,5904.0556640625
46,6602.72509765625
47,6601.05615234375
48,10952.41796875
49,6465.90673828125
50,7521.9423828125
51,8020.00927734375
52,8564.3798828125
53,7010.263671875
54,9557.853515625
55,5062.927734375
56,5878.958984375
57,6347.70556640625
58,6324.05810546875
59,8548.5810546875
60,7550.44970703125
61,5298.17724609375
62,7611.1064453125
63,6218.376953125
64,10515.4443359375
65,4395.2529296875
66,10527.84765625
67,5368.7685546875
68,6647.5595703125
69,6979.37353515625
70,6486.28466796875
71,6081.20947265625
72,6792.8974609375
73,7438.708984375
74,5775.3134765625
75,6031.564453125
76,7294.30419921875
77,7011.681640625
78,7080.37841796875
79,5816.95458984375
80,8131.61083984375
81,7559.0390625
82,6802.1171875
83,5729.7880859375
84,6809.8291015625
85,6083.599609375
86,7288.62939453125
87,6861.931640625
88,4957.98291015625
89,7325.31591796875
90,6652.83056640625
91,6566.1044921875
92,7515.84619140625
93,5994.7021484375
94,6468.98486328125
95,5753.35888671875
96,6790.76611328125
97,7509.46875
98,5184.2861328125
99,5133.89990234375
100,7380.2001953125
101,6439.232421875
102,5822.63916015625
103,7305.98095703125
104,7045.79150390625
105,7461.99609375
106,5920.4267578125
107,5572.2216796875
108,6434.7197265625
109,7818.2060546875
110,7828.23486328125
111,7037.4970703125
112,7853.841796875
113,6346.0830078125
114,7503.49072265625
115,6003.72607421875
116,7933.5732421875
117,8523.2197265625
118,6139.54443359375
119,7563.80615234375
120,7025.7802734375
